Organization,IPs Count
"Amazon.com, Inc.",12438
Microsoft Corporation,3098
Google LLC,1954
"Comcast Cable Communications, LLC",1880
Verizon Business,1836
"T-Mobile USA, Inc.",1734
"CenturyLink Communications, LLC",1460
Charter Communications Inc,1305
OVH SAS,1077
"AT&T Services, Inc.",937
Orange S.A.,698
Sprint,662
M247 Ltd,645
Cogent Communications,568
BHARTI Airtel Ltd.,565
Bell Canada,556
Oath Holdings Inc.,538
"DigitalOcean, LLC",534
Charter Communications,527
TATA COMMUNICATIONS (AMERICA) INC,519
CHINANET-BACKBONE,473
Cox Communications Inc.,473
"Leaseweb USA, Inc.",450
Rogers Communications Canada Inc.,425
TELUS Communications Inc.,403
AT&T Mobility LLC,376
Rackspace Hosting,365
IONOS SE,342
"Level 3 Parent, LLC",325
IPXO UK LIMITED,318
"Charter Communications, Inc",311
Free SAS,301
ONLINE S.A.S.,289
SoftLayer Technologies Inc.,286
Orange Espagne SA,284
Hurricane Electric LLC,275
Hetzner Online GmbH,263
net4sec UG,259
Host Europe GmbH,259
Hosting.de GmbH,256
B2 Net Solutions Inc.,247
ColoCrossing,244
British Telecommunications PLC,230
KVCHOSTING.COM LLC,229
Sprint Personal Communications Systems,228
Videotron Telecom Ltee,224
TalkTalk Communications Limited,224
Shaw Communications Inc.,222
Cablevision Systems Corp.,219
Proximus NV,216
Datacamp Limited,211
Korea Telecom,198
Partner Communications Ltd.,195
"Cloudflare, Inc.",195
GTT Communications Inc.,192
"Frontier Communications of America, Inc.",184
Forcepoint Cloud Ltd,182
Telstra Corporation Ltd,171
Reliance Communications Ltd.DAKC MUMBAI,162
Plusnet,161
Zayo Bandwidth,151
PT Telekomunikasi Indonesia,150
Windstream Communications LLC,146
Geekyworks IT Solutions Pvt Ltd,146
China Unicom Beijing Province Network,142
QuadraNet Enterprises LLC,142
Societe Francaise Du Radiotelephone - SFR SA,134
Virgin Media Limited,132
YANDEX LLC,129
Psychz Networks,129
AVAST Software s.r.o.,127
"Linode, LLC",125
PJSC Rostelecom,125
HUAWEI CLOUDS,124
"Hangzhou Alibaba Advertising Co.,Ltd.",124
Telenet BVBA,123
Involta,120
TPG Telecom Limited,118
Apple Inc.,117
PJSC Vimpelcom,115
Cellcom Fixed Line Communication L.P.,114
TOT Public Company Limited,107
Telmex Colombia S.A.,105
Telstra Global,104
"Facebook, Inc.",103
Suddenlink Communications,102
CHINA UNICOM China169 Backbone,100
Akamai International B.V.,97
National Internet Backbone,97
Colocation America Corporation,97
SAKURA Internet Inc.,96
TELEFONICA DE ESPANA S.A.U.,94
Performive LLC,90
Flexential Colorado Corp.,87
"Akamai Technologies, Inc.",86
DFW Datacenter,84
Chi Networks,84
Data Communication Business Group,84
TELEFÔNICA BRASIL S.A,83
EPM Telecomunicaciones S.A. E.S.P.,83
Internap Holding LLC,82
Breezeline,82
"The Constant Company, LLC",82
ColoUp,81
Deutsche Telekom AG,80
Unified Layer,79
JSC ER-Telecom Holding,77
Google Fiber Inc.,77
Sky UK Limited,77
Mediacom Communications Corp,77
Hughes Network Systems,76
Cogeco Cable,76
Zwiebelfreunde e.V.,76
Bouygues Telecom SA,75
"CSNE Co., Ltd.",74
SK Broadband Co Ltd,74
Telia Company AB,70
EastLink,69
Gujarat Telelink Pvt Ltd,69
EGIHosting,69
LLC VK,67
"CABLE ONE, INC.",66
Orange Polska Spolka Akcyjna,66
FPT Telecom Company,65
"GoDaddy.com, LLC",64
"HostDime.com, Inc.",63
"Bharti Airtel Ltd., Telemedia Services",63
Midcontinent Communications,63
CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,63
"trafficforce, UAB",63
Reliance Globalcom Limited,62
Bezeq International-Ltd,61
LG DACOM Corporation,61
Microplex PTY LTD,61
Reliance Jio Infocomm Limited,60
"TekSavvy Solutions, Inc.",60
Brutele SC,60
KCOM GROUP LIMITED,60
Wave Broadband,59
"AT&T Global Network Services, LLC",59
TerraTransit AG,59
HostRoyale Technologies Pvt Ltd,58
China Telecom (Group),57
CLOUDVPN INC.,56
Vodafone Group PLC,56
"Strong Technology, LLC.",56
Cogeco Connexion inc,56
1&1 Versatel Deutschland GmbH,53
RCN,53
Telecom Italia S.p.A.,52
Aruba S.p.A.,52
WideOpenWest Finance LLC,52
Sprious LLC,52
KDDI Web Communications Inc.,51
Aptum Technologies,51
NETWORK TRANSIT HOLDINGS LLC,50
EE Limited,50
PlusServer GmbH,50
"GMO Internet,Inc",50
Turk Telekomunikasyon Anonim Sirketi,49
Claro NXT Telecomunicacoes Ltda,49
"Google, LLC",49
"Namecheap, Inc.",48
NForce Entertainment B.V.,48
Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,48
FranTech Solutions,47
TDC Holding A/S,47
SEMrush CY LTD,46
DataWeb Global Group B.V.,46
HKBN Enterprise Solutions Limited,46
"StackPath, LLC.",45
Fortinet Inc.,45
Contabo GmbH,45
"NTT PC Communications, Inc.",44
"ZSCALER, INC.",44
"QuickPacket, LLC",43
"IDC, China Telecommunications Corporation",43
CtrlS Datacenters Ltd.,43
Vodafone Limited,42
LeaseWeb Netherlands B.V.,42
MULTACOM CORPORATION,42
PenTeleData Inc.,41
Aria Shatel Company Ltd,41
Pakistan Telecommunication Company Limited,41
"Lunavi, Inc.",41
SIA Tet,41
UK-2 Limited,40
StackPath LLC,39
Telenor Norge AS,39
"""Domain names registrar REG.RU"", Ltd",39
RCS & RDS SA,39
KPN B.V.,39
Distributel Communications Limited,38
Keyweb AG,38
JSC IOT,38
Viettel Group,38
TDS TELECOM,37
TELEKOM SRBIJA a.d.,37
"Powerhouse Management, Inc.",37
Accenture UK Limited,37
Saskatchewan Telecommunications,37
Uninet S.A. de C.V.,36
Vodafone GmbH,36
Armstrong,36
"NTT America, Inc.",36
SingleHop LLC,36
T-Mobile Czech Republic a.s.,36
"ViaSat,Inc.",36
"FAIRPOINT COMMUNICATIONS, INC.",35
Telecom Argentina S.A.,35
"Consolidated Communications, Inc.",35
Hostinger International Limited,34
Kaspersky Lab Switzerland GmbH,34
Eonix Corporation,34
Ishan's Network,34
Spark New Zealand Trading Ltd.,34
IP Exchange GmbH,34
Gigabit Hosting Sdn Bhd,33
Sify Limited,33
DoD Network Information Center,33
Telstra Europe Ltd,33
RailTel Corporation of India Ltd,33
MTS PJSC,33
ALGAR TELECOM S/A,32
COLT Technology Services Group Limited,32
Oracle Svenska AB,32
"InMotion Hosting, Inc.",32
JSC RU-CENTER,32
VNPT Corp,31
Vocus Retail,30
TimeWeb Ltd.,30
"WholeSale Internet, Inc.",30
Orange Belgium SA,30
ServeTheWorld AS,30
TE-AS,30
ITL LLC,30
iWeb Technologies Inc.,30
Vodafone Libertel B.V.,30
Tele2 Sverige AB,30
M-net Telekommunikations GmbH,29
ETB - Colombia,29
Microscan Computers Private Limited,29
"Liquid Web, L.L.C",29
